index,input,output
0,-1.00000000,0.00404000
1,-0.98425198,0.00448535
2,-0.96850395,0.00493069
3,-0.95275593,0.00537604
4,-0.93700790,0.00582138
5,-0.92125982,0.00626673
6,-0.90551180,0.00671207
7,-0.88976377,0.00715742
8,-0.87401575,0.00760276
9,-0.85826772,0.00804811
10,-0.84251970,0.00745978
11,-0.82677168,0.00679171
12,-0.81102359,0.00612364
13,-0.79527557,0.00545558
14,-0.77952754,0.00478751
15,-0.76377952,0.00411945
16,-0.74803150,0.00345139
17,-0.73228347,0.00278332
18,-0.71653545,0.00211526
19,-0.70078743,0.00488384
20,-0.68503940,0.00822393
21,-0.66929132,0.01156403
22,-0.65354329,0.01490412
23,-0.63779527,0.01824421
24,-0.62204725,0.02158430
25,-0.60629922,0.02492439
26,-0.59055120,0.02826448
27,-0.57480317,0.03160457
28,-0.55905509,0.03092018
29,-0.54330707,0.02913880
30,-0.52755904,0.02735741
31,-0.51181102,0.02557603
32,-0.49606299,0.02379465
33,-0.48031497,0.02201327
34,-0.46456695,0.02023189
35,-0.44881889,0.01845051
36,-0.43307087,0.01666913
37,-0.41732284,0.01790935
38,-0.40157479,0.02035875
39,-0.38582677,0.02280815
40,-0.37007874,0.02525755
41,-0.35433072,0.02770695
42,-0.33858269,0.03015635
43,-0.32283464,0.03260575
44,-0.30708662,0.03505515
45,-0.29133859,0.03750455
46,-0.27559054,0.03616201
47,-0.25984251,0.03271034
48,-0.24409449,0.02925867
49,-0.22834647,0.02580701
50,-0.21259843,0.02235534
51,-0.19685039,0.01890367
52,-0.18110237,0.01545200
53,-0.16535434,0.01200033
54,-0.14960630,0.00854866
55,-0.13385826,0.00662451
56,-0.11811024,0.00584516
57,-0.10236221,0.00506580
58,-0.08661418,0.00428645
59,-0.07086615,0.00350710
60,-0.05511811,0.00272774
61,-0.03937008,0.00194839
62,-0.02362205,0.00116903
63,-0.00787402,0.00038968
64,0.00787402,0.00879668
65,0.02362205,0.02639003
66,0.03937008,0.04398338
67,0.05511811,0.06157673
68,0.07086615,0.07917008
69,0.08661418,0.09676342
70,0.10236221,0.11435678
71,0.11811024,0.13195013
72,0.13385826,0.14954346
73,0.14960630,0.16427496
74,0.16535434,0.17518780
75,0.18110237,0.18610062
76,0.19685039,0.19701344
77,0.21259843,0.20792627
78,0.22834647,0.21883911
79,0.24409449,0.22975194
80,0.25984251,0.24066475
81,0.27559054,0.25157759
82,0.29133859,0.26428086
83,0.30708662,0.28020304
84,0.32283464,0.29612523
85,0.33858269,0.31204745
86,0.35433072,0.32796967
87,0.37007874,0.34389186
88,0.38582677,0.35981405
89,0.40157479,0.37573624
90,0.41732284,0.39165846
91,0.43307087,0.40735790
92,0.44881889,0.42250076
93,0.46456695,0.43764362
94,0.48031497,0.45278645
95,0.49606299,0.46792930
96,0.51181102,0.48307213
97,0.52755904,0.49821496
98,0.54330707,0.51335782
99,0.55905509,0.52850068
100,0.57480317,0.54481232
101,0.59055120,0.56541175
102,0.60629922,0.58601117
103,0.62204725,0.60661060
104,0.63779527,0.62721002
105,0.65354329,0.64780939
106,0.66929132,0.66840887
107,0.68503940,0.68900836
108,0.70078743,0.70960772
109,0.71653545,0.72966760
110,0.73228347,0.74648273
111,0.74803150,0.76329792
112,0.76377952,0.78011310
113,0.77952754,0.79692829
114,0.79527557,0.81374341
115,0.81102359,0.83055860
116,0.82677168,0.84737384
117,0.84251970,0.86418903
118,0.85826772,0.88074887
119,0.87401575,0.89399898
120,0.88976377,0.90724909
121,0.90551180,0.92049921
122,0.92125982,0.93374932
123,0.93700790,0.94699955
124,0.95275593,0.96024966
125,0.96850395,0.97349977
126,0.98425198,0.98674989
127,1.00000000,1.00000000
