index,input,output
0,-1.00000000,0.00404000
1,-0.93548387,0.00586448
2,-0.87096775,0.00768896
3,-0.80645162,0.00592969
4,-0.74193549,0.00319278
5,-0.67741936,0.00984011
6,-0.61290324,0.02352371
7,-0.54838711,0.02971344
8,-0.48387098,0.02241552
9,-0.41935486,0.01759329
10,-0.35483873,0.02762793
11,-0.29032260,0.03766257
12,-0.22580647,0.02525029
13,-0.16129035,0.01110958
14,-0.09677422,0.00478926
15,-0.03225809,0.00159642
16,0.03225809,0.03603802
17,0.09677422,0.10811400
18,0.16129035,0.17237158
19,0.22580647,0.21707898
20,0.29032260,0.26325363
21,0.35483873,0.32848328
22,0.41935486,0.39371294
23,0.48387098,0.45620582
24,0.54838711,0.51824266
25,0.61290324,0.59464961
26,0.67741936,0.67904085
27,0.74193549,0.75678885
28,0.80645162,0.82567680
29,0.87096775,0.89143443
30,0.93548387,0.94571722
31,1.00000000,1.00000000
