index,input,output
0,-1.00000000,0.00000000
1,-0.93548387,0.00000000
2,-0.87096775,0.00000000
3,-0.80645162,0.00000000
4,-0.74193549,0.00000000
5,-0.67741936,0.00000000
6,-0.61290324,0.00000000
7,-0.54838711,0.00000000
8,-0.48387098,0.00000000
9,-0.41935486,0.00000000
10,-0.35483873,0.00000000
11,-0.29032260,0.00000000
12,-0.22580647,0.00000000
13,-0.16129035,0.00000000
14,-0.09677422,0.00000000
15,-0.03225809,0.00000000
16,0.03225803,0.03225806
17,0.09677410,0.09677419
18,0.16129029,0.16129032
19,0.22580647,0.22580644
20,0.29032254,0.29032257
21,0.35483861,0.35483870
22,0.41935480,0.41935483
23,0.48387098,0.48387095
24,0.54838705,0.54838705
25,0.61290312,0.61290324
26,0.67741930,0.67741930
27,0.74193549,0.74193549
28,0.80645156,0.80645156
29,0.87096763,0.87096775
30,0.93548381,0.93548381
31,1.00000000,1.00000000
