index,input,output
0,-1.00000000,0.00404000
1,-0.96825397,0.00493776
2,-0.93650794,0.00583552
3,-0.90476191,0.00673328
4,-0.87301588,0.00763104
5,-0.84126985,0.00740675
6,-0.80952382,0.00606002
7,-0.77777779,0.00471329
8,-0.74603176,0.00336655
9,-0.71428567,0.00202092
10,-0.68253964,0.00875412
11,-0.65079361,0.01548732
12,-0.61904758,0.02222052
13,-0.58730155,0.02895372
14,-0.55555552,0.03052431
15,-0.52380949,0.02693328
16,-0.49206346,0.02334224
17,-0.46031743,0.01975120
18,-0.42857140,0.01616016
19,-0.39682537,0.02109746
20,-0.36507934,0.02603514
21,-0.33333328,0.03097282
22,-0.30158725,0.03591050
23,-0.26984122,0.03490186
24,-0.23809519,0.02794374
25,-0.20634916,0.02098562
26,-0.17460313,0.01402749
27,-0.14285709,0.00706986
28,-0.11111106,0.00549878
29,-0.07936503,0.00392770
30,-0.04761899,0.00235662
31,-0.01587296,0.00078554
32,0.01587296,0.01773292
33,0.04761899,0.05319887
34,0.07936503,0.08866484
35,0.11111106,0.12413080
36,0.14285709,0.15959676
37,0.17460313,0.18159688
38,0.20634916,0.20359576
39,0.23809519,0.22559464
40,0.26984122,0.24759351
41,0.30158725,0.27464285
42,0.33333328,0.30673999
43,0.36507934,0.33883715
44,0.39682537,0.37093431
45,0.42857140,0.40303135
46,0.46031743,0.43355742
47,0.49206346,0.46408346
48,0.52380949,0.49460953
49,0.55555552,0.52513558
50,0.58730155,0.56116098
51,0.61904758,0.60268682
52,0.65079361,0.64421266
53,0.68253964,0.68573844
54,0.71428567,0.72726429
55,0.74603176,0.76116270
56,0.77777779,0.79505992
57,0.80952382,0.82895720
58,0.84126985,0.86285448
59,0.87301588,0.89315772
60,0.90476191,0.91986829
61,0.93650794,0.94657886
62,0.96825397,0.97328943
63,1.00000000,1.00000000
