index,input,output
0,-1.00000000,0.00000000
1,-0.96825397,0.00000000
2,-0.93650794,0.00000000
3,-0.90476191,0.00000000
4,-0.87301588,0.00000000
5,-0.84126985,0.00000000
6,-0.80952382,0.00000000
7,-0.77777779,0.00000000
8,-0.74603176,0.00000000
9,-0.71428573,0.00000000
10,-0.68253970,0.00000000
11,-0.65079367,0.00000000
12,-0.61904758,0.00000000
13,-0.58730155,0.00000000
14,-0.55555552,0.00000000
15,-0.52380949,0.00000000
16,-0.49206346,0.00000000
17,-0.46031743,0.00000000
18,-0.42857140,0.00000000
19,-0.39682537,0.00000000
20,-0.36507934,0.00000000
21,-0.33333331,0.00000000
22,-0.30158728,0.00000000
23,-0.26984125,0.00000000
24,-0.23809516,0.00000000
25,-0.20634913,0.00000000
26,-0.17460310,0.00000000
27,-0.14285707,0.00000000
28,-0.11111104,0.00000000
29,-0.07936502,0.00000000
30,-0.04761899,0.00000000
31,-0.01587296,0.00000000
32,0.01587307,0.01587302
33,0.04761910,0.04761905
34,0.07936513,0.07936508
35,0.11111116,0.11111112
36,0.14285719,0.14285715
37,0.17460322,0.17460318
38,0.20634925,0.20634922
39,0.23809528,0.23809525
40,0.26984131,0.26984128
41,0.30158734,0.30158731
42,0.33333337,0.33333334
43,0.36507940,0.36507937
44,0.39682543,0.39682543
45,0.42857146,0.42857146
46,0.46031749,0.46031749
47,0.49206352,0.49206352
48,0.52380967,0.52380955
49,0.55555570,0.55555558
50,0.58730173,0.58730161
51,0.61904776,0.61904764
52,0.65079379,0.65079367
53,0.68253982,0.68253970
54,0.71428585,0.71428573
55,0.74603188,0.74603176
56,0.77777791,0.77777785
57,0.80952394,0.80952388
58,0.84126997,0.84126991
59,0.87301600,0.87301594
60,0.90476203,0.90476197
61,0.93650806,0.93650800
62,0.96825409,0.96825403
63,1.00000000,1.00000000
