epoch,step,total_steps,train_loss,train_acc,val_probe_loss,val_probe_acc,val_probe_batches
2,340,469,0.147842,97.4035,0.144782,96.2500,5
2,360,469,0.146776,97.4284,0.327474,91.8750,5
2,380,469,0.145346,97.4301,0.088822,97.3438,5
2,400,469,0.143857,97.4316,0.108530,97.0312,5
2,420,469,0.141607,97.4647,0.102611,97.5000,5
2,440,469,0.140800,97.4627,0.116381,97.8125,5
2,460,469,0.138659,97.5017,0.069976,98.5938,5
2,469,469,0.137824,97.5133,0.076942,98.1250,5
3,20,469,0.094614,98.2031,0.112479,97.6562,5
3,40,469,0.082434,98.5547,0.094083,97.5000,5
3,60,469,0.086037,98.3464,0.082843,98.5938,5
3,80,469,0.089409,98.1836,0.088731,98.2812,5
3,100,469,0.089042,98.2812,0.076401,98.1250,5
3,120,469,0.087277,98.3724,0.076439,97.8125,5
3,140,469,0.086454,98.3873,0.090311,98.2812,5
3,160,469,0.084300,98.4180,0.109301,97.3438,5
3,180,469,0.081979,98.4462,0.087144,98.5938,5
3,200,469,0.081027,98.4336,0.088506,98.1250,5
3,220,469,0.079983,98.4553,0.079622,97.9688,5
3,240,469,0.078441,98.4766,0.079944,98.4375,5
3,260,469,0.078745,98.4736,0.147217,97.0312,5
3,280,469,0.078339,98.4710,0.071079,97.8125,5
3,300,469,0.077219,98.4844,0.090965,97.5000,5
3,320,469,0.076721,98.4912,0.105627,97.0312,5
3,340,469,0.076329,98.4995,0.089408,97.0312,5
3,360,469,0.076560,98.4874,0.070002,98.4375,5
3,380,469,0.076009,98.5074,0.060131,98.1250,5
3,400,469,0.075281,98.5215,0.064243,98.2812,5
3,420,469,0.074687,98.5435,0.098324,97.6562,5
3,440,469,0.074733,98.5334,0.174553,96.4062,5
3,460,469,0.074814,98.5292,0.137018,96.8750,5
3,469,469,0.075016,98.5250,0.079061,98.1250,5
4,20,469,0.142146,93.4766,0.097070,96.8750,5
4,40,469,0.114078,95.6055,0.094048,96.5625,5
4,60,469,0.099050,96.2500,0.075395,97.3438,5
4,80,469,0.090604,96.6699,0.099616,96.5625,5
4,100,469,0.089226,96.8281,0.074002,98.1250,5
4,120,469,0.090834,96.9336,0.061793,97.8125,5
4,140,469,0.087133,97.0033,0.060926,98.1250,5
4,160,469,0.086262,97.0264,0.094366,97.3438,5
4,180,469,0.086211,97.0182,0.087267,97.0312,5
4,200,469,0.085178,97.1094,0.076587,97.5000,5
4,220,469,0.083927,97.1484,0.068587,97.0312,5
4,240,469,0.082595,97.2168,0.064043,97.8125,5
4,260,469,0.081344,97.3227,0.052672,98.2812,5
4,280,469,0.079097,97.3661,0.173326,94.0625,5
4,300,469,0.078205,97.3932,0.069303,98.1250,5
4,320,469,0.077495,97.4194,0.082432,97.1875,5
4,340,469,0.077110,97.4540,0.076478,97.6562,5
4,360,469,0.076705,97.4783,0.115966,96.8750,5
4,380,469,0.075894,97.5288,0.085151,96.8750,5
4,400,469,0.075082,97.5645,0.075607,97.9688,5
4,420,469,0.074202,97.6172,0.048620,97.8125,5
4,440,469,0.072958,97.6580,0.056179,97.9688,5
4,460,469,0.072898,97.6783,0.102198,97.3438,5
4,469,469,0.072417,97.6883,0.070014,98.2812,5
5,20,469,0.048029,98.7891,0.046484,99.0625,5
5,40,469,0.046489,98.7500,0.059298,97.8125,5
5,60,469,0.042723,98.8151,0.054692,98.7500,5
5,80,469,0.040750,98.7891,0.076268,98.2812,5
5,100,469,0.039432,98.8203,0.091842,97.3438,5
5,120,469,0.040748,98.7630,0.075735,98.4375,5
5,140,469,0.044006,98.6998,0.134801,98.1250,5
5,160,469,0.044250,98.6816,0.090699,97.1875,5
5,180,469,0.045392,98.6111,0.080804,97.8125,5
5,200,469,0.048593,98.5430,0.077174,97.5000,5
5,220,469,0.049737,98.5050,0.079551,98.9062,5
5,240,469,0.050095,98.5286,0.075497,98.5938,5
5,260,469,0.050456,98.5096,0.105283,97.1875,5
5,280,469,0.049842,98.5240,0.067550,97.9688,5
5,300,469,0.049873,98.5391,0.067074,97.9688,5
5,320,469,0.049253,98.5571,0.024424,99.2188,5
5,340,469,0.048844,98.5570,0.061763,98.4375,5
5,360,469,0.048726,98.5720,0.084570,97.5000,5
5,380,469,0.049191,98.5732,0.088679,98.1250,5
5,400,469,0.048997,98.5625,0.093913,97.8125,5
5,420,469,0.049066,98.5733,0.098552,98.4375,5
5,440,469,0.049374,98.5405,0.068684,97.5000,5
5,460,469,0.049558,98.5139,0.094678,97.5000,5
5,469,469,0.049210,98.5317,0.078732,97.9688,5
6,20,469,0.044772,98.7109,0.068571,98.5938,5
6,40,469,0.047415,98.7109,0.039915,98.7500,5
6,60,469,0.044192,98.6328,0.039249,98.9062,5
6,80,469,0.040637,98.6914,0.068993,98.4375,5
6,100,469,0.040225,98.7188,0.052861,98.5938,5
6,120,469,0.039726,98.6979,0.068112,98.4375,5
6,140,469,0.039942,98.6719,0.066043,97.6562,5
6,160,469,0.040693,98.6572,0.062875,98.4375,5
6,180,469,0.039895,98.7153,0.072041,97.8125,5
6,200,469,0.039737,98.7148,0.049483,98.5938,5
6,220,469,0.041005,98.7180,0.058415,98.2812,5
6,240,469,0.040902,98.7370,0.148814,97.9688,5
6,260,469,0.041774,98.7109,0.092692,97.9688,5
6,280,469,0.042131,98.7193,0.117153,97.6562,5
6,300,469,0.042355,98.7057,0.207311,95.7812,5
6,320,469,0.042685,98.7085,0.109972,97.5000,5
6,340,469,0.043347,98.6972,0.104898,97.9688,5
6,360,469,0.043553,98.6957,0.096945,98.1250,5
6,380,469,0.042930,98.7274,0.119304,98.2812,5
6,400,469,0.042624,98.7441,0.069093,98.1250,5
6,420,469,0.042305,98.7574,0.076535,98.1250,5
6,440,469,0.042320,98.7464,0.080341,98.4375,5
6,460,469,0.041921,98.7585,0.076224,98.2812,5
6,469,469,0.042075,98.7567,0.064722,98.4375,5
7,20,469,0.037832,98.7500,0.069101,98.4375,5
7,40,469,0.039117,98.8086,0.110399,97.3438,5
7,60,469,0.035714,98.9714,0.076200,98.1250,5
7,80,469,0.036420,98.9551,0.100012,97.6562,5
7,100,469,0.036674,98.9297,0.073752,98.1250,5
7,120,469,0.036503,98.9062,0.062849,98.2812,5
7,140,469,0.033992,98.9788,0.060971,98.4375,5
7,160,469,0.032985,98.9941,0.086667,97.8125,5
7,180,469,0.032785,98.9670,0.077663,97.3438,5
7,200,469,0.031688,98.9609,0.067239,96.8750,5
7,220,469,0.031802,98.9560,0.080830,98.2812,5
7,240,469,0.032055,98.9714,0.148655,96.4062,5
7,260,469,0.032553,98.9453,0.074661,97.9688,5
7,280,469,0.033066,98.9397,0.074901,98.1250,5
7,300,469,0.033198,98.9479,0.092429,98.1250,5
7,320,469,0.033463,98.9331,0.044684,98.7500,5
7,340,469,0.033292,98.9269,0.043273,98.5938,5
7,360,469,0.033001,98.9475,0.078055,97.1875,5
7,380,469,0.032878,98.9433,0.066595,98.7500,5
7,400,469,0.032857,98.9414,0.050909,98.9062,5
7,420,469,0.033606,98.9397,0.073527,98.5938,5
7,440,469,0.033060,98.9524,0.049890,98.9062,5
7,460,469,0.032735,98.9589,0.078422,97.0312,5
7,469,469,0.032867,98.9633,0.087388,98.2812,5
8,20,469,0.020548,99.2969,0.065542,98.2812,5
8,40,469,0.022188,99.2969,0.051544,99.0625,5
8,60,469,0.023278,99.2578,0.045619,98.9062,5
8,80,469,0.024255,99.2188,0.046823,98.2812,5
8,100,469,0.024593,99.2344,0.062005,98.7500,5
8,120,469,0.026358,99.2057,0.076206,98.5938,5
8,140,469,0.025071,99.2299,0.054204,98.7500,5
8,160,469,0.024629,99.2188,0.061675,98.2812,5
8,180,469,0.024350,99.2448,0.114413,97.9688,5
8,200,469,0.023919,99.2422,0.072128,98.9062,5
8,220,469,0.023680,99.2365,0.063659,98.5938,5
8,240,469,0.023470,99.2220,0.071952,98.1250,5
8,260,469,0.024771,99.2188,0.090002,98.2812,5
8,280,469,0.025468,99.1992,0.091017,97.8125,5
8,300,469,0.025307,99.1953,0.091215,98.2812,5
8,320,469,0.025436,99.1870,0.076004,98.4375,5
8,340,469,0.026169,99.1889,0.106296,97.6562,5
8,360,469,0.026039,99.1862,0.100725,98.1250,5
8,380,469,0.025476,99.1961,0.059719,98.7500,5
8,400,469,0.024726,99.2227,0.045378,98.5938,5
8,420,469,0.024557,99.2206,0.056916,98.2812,5
8,440,469,0.024172,99.2188,0.045219,98.5938,5
8,460,469,0.024010,99.2221,0.066965,98.2812,5
8,469,469,0.023919,99.2200,0.060340,98.4375,5
9,20,469,0.027755,98.7891,0.054778,98.1250,5
9,40,469,0.024721,98.9844,0.057915,98.5938,5
9,60,469,0.023721,99.1146,0.055809,98.5938,5
9,80,469,0.022278,99.2480,0.054180,98.9062,5
9,100,469,0.022040,99.2656,0.063968,98.5938,5
9,120,469,0.021456,99.2773,0.053299,98.7500,5
9,140,469,0.022235,99.2578,0.066254,98.4375,5
9,160,469,0.022500,99.2529,0.043401,98.9062,5
9,180,469,0.022667,99.2622,0.095383,97.0312,5
9,200,469,0.022256,99.2656,0.063887,98.1250,5
9,220,469,0.023041,99.2578,0.094226,98.5938,5
9,240,469,0.023027,99.2676,0.071030,98.7500,5
9,260,469,0.023797,99.2548,0.053467,98.2812,5
9,280,469,0.024011,99.2550,0.066254,98.5938,5
9,300,469,0.023978,99.2630,0.079193,98.2812,5
9,320,469,0.024022,99.2676,0.056103,98.5938,5
9,340,469,0.023593,99.2647,0.051580,98.4375,5
9,360,469,0.023011,99.2839,0.100281,98.2812,5
9,380,469,0.022902,99.2866,0.065966,98.4375,5
9,400,469,0.022819,99.2949,0.065538,98.7500,5
9,420,469,0.022786,99.2783,0.085831,98.4375,5
9,440,469,0.022778,99.2862,0.071048,98.5938,5
9,460,469,0.022648,99.2901,0.063550,98.5938,5
9,469,469,0.022641,99.2883,0.052926,98.5938,5
10,20,469,0.035227,99.0234,0.130788,96.8750,5
10,40,469,0.032907,99.1602,0.109075,98.7500,5
10,60,469,0.028934,99.2708,0.097051,97.9688,5
10,80,469,0.024749,99.3555,0.070828,98.2812,5
10,100,469,0.022985,99.3359,0.116305,95.7812,5
10,120,469,0.021719,99.3424,0.133096,95.9375,5
10,140,469,0.020534,99.3638,0.080861,98.1250,5
10,160,469,0.020376,99.3848,0.086395,98.2812,5
10,180,469,0.019319,99.4054,0.076749,98.5938,5
10,200,469,0.019720,99.4102,0.095840,98.7500,5
10,220,469,0.018979,99.4389,0.082282,98.5938,5
10,240,469,0.019314,99.4336,0.096139,98.5938,5
10,260,469,0.018670,99.4561,0.067906,98.5938,5
10,280,469,0.018051,99.4727,0.077529,98.5938,5
10,300,469,0.018020,99.4583,0.085683,98.4375,5
10,320,469,0.018315,99.4385,0.107563,98.5938,5
10,340,469,0.018193,99.4301,0.082531,98.7500,5
10,360,469,0.018549,99.4249,0.083977,98.9062,5
10,380,469,0.018270,99.4243,0.074096,98.5938,5
10,400,469,0.017961,99.4180,0.085081,98.7500,5
10,420,469,0.017583,99.4234,0.070981,98.2812,5
10,440,469,0.017624,99.4016,0.077487,98.4375,5
10,460,469,0.017701,99.3920,0.074290,98.5938,5
10,469,469,0.017647,99.3933,0.078849,98.4375,5
