index,input,output
219,0.71764702,0.73085451
220,0.72549015,0.73922908
221,0.73333329,0.74760371
222,0.74117643,0.75597835
223,0.74901962,0.76435304
224,0.75686276,0.77272761
225,0.76470590,0.78110224
226,0.77254903,0.78947687
227,0.78039217,0.79785144
228,0.78823531,0.80622607
229,0.79607844,0.81460071
230,0.80392158,0.82297534
231,0.81176472,0.83134997
232,0.81960785,0.83972454
233,0.82745099,0.84809917
234,0.83529413,0.85647380
235,0.84313726,0.86484838
236,0.85098040,0.87322301
237,0.85882354,0.88121653
238,0.86666667,0.88781559
239,0.87450981,0.89441466
240,0.88235295,0.90101379
241,0.89019608,0.90761286
242,0.89803922,0.91421193
243,0.90588236,0.92081100
244,0.91372550,0.92741013
245,0.92156863,0.93400919
246,0.92941177,0.94060826
247,0.93725491,0.94720733
248,0.94509804,0.95380640
249,0.95294118,0.96040553
250,0.96078432,0.96700460
251,0.96862745,0.97360367
252,0.97647059,0.98020273
253,0.98431373,0.98680186
254,0.99215686,0.99340093
255,1.00000000,1.00000000
