epoch,step,total_steps,train_loss,train_acc,val_probe_loss,val_probe_acc,val_probe_batches
5,340,469,0.083139,97.4586,0.095753,96.7188,5
5,360,469,0.082819,97.4826,0.092888,97.0312,5
5,380,469,0.083626,97.4692,0.082226,96.7188,5
5,400,469,0.083417,97.4648,0.058733,97.6562,5
5,420,469,0.082484,97.5074,0.387268,87.9688,5
5,440,469,0.082592,97.5231,0.092886,96.5625,5
5,460,469,0.081958,97.5510,0.079391,96.5625,5
5,469,469,0.081793,97.5617,0.086109,96.4062,5
6,20,469,0.074825,97.6172,0.091073,96.5625,5
6,40,469,0.074044,97.8906,0.059006,97.6562,5
6,60,469,0.069623,98.0729,0.078292,97.5000,5
6,80,469,0.066374,98.1055,0.076221,97.5000,5
6,100,469,0.062678,98.1719,0.062336,97.5000,5
6,120,469,0.063539,98.1250,0.112301,96.2500,5
6,140,469,0.064192,98.1250,0.070263,97.3438,5
6,160,469,0.061750,98.1836,0.050007,97.9688,5
6,180,469,0.060865,98.2422,0.057837,98.2812,5
6,200,469,0.060748,98.1914,0.087539,96.4062,5
6,220,469,0.059818,98.1818,0.102276,96.7188,5
6,240,469,0.060064,98.1673,0.098004,96.0938,5
6,260,469,0.060107,98.1701,0.057761,97.6562,5
6,280,469,0.060466,98.1808,0.050262,97.9688,5
6,300,469,0.059305,98.2188,0.098771,96.2500,5
6,320,469,0.059515,98.1958,0.267570,90.7812,5
6,340,469,0.059262,98.1939,0.100778,96.5625,5
6,360,469,0.059148,98.1879,0.259322,90.3125,5
6,380,469,0.058314,98.2155,0.095869,95.4688,5
6,400,469,0.058056,98.2109,0.153246,94.8438,5
6,420,469,0.058073,98.2087,0.137527,95.1562,5
6,440,469,0.058495,98.1925,0.093867,97.3438,5
6,460,469,0.058227,98.1963,0.625515,77.5000,5
6,469,469,0.058405,98.1950,0.198375,93.1250,5
7,20,469,0.040923,98.9062,0.074641,98.2812,5
7,40,469,0.036881,98.9453,0.059168,97.6562,5
7,60,469,0.039559,98.8151,0.105910,95.0000,5
7,80,469,0.041575,98.6426,0.166384,94.2188,5
7,100,469,0.045215,98.5391,0.130920,95.4688,5
7,120,469,0.046327,98.5286,0.093265,96.2500,5
7,140,469,0.047454,98.4877,0.061171,98.2812,5
7,160,469,0.048500,98.4912,0.114311,95.4688,5
7,180,469,0.048286,98.4939,0.060598,97.8125,5
7,200,469,0.048431,98.5195,0.096767,95.6250,5
7,220,469,0.049025,98.5014,0.118686,96.0938,5
7,240,469,0.050504,98.4505,0.480971,81.8750,5
7,260,469,0.049865,98.4796,0.079777,97.3438,5
7,280,469,0.050065,98.4626,0.507331,81.2500,5
7,300,469,0.049431,98.4870,0.076320,96.8750,5
7,320,469,0.049930,98.4937,0.076282,97.1875,5
7,340,469,0.050045,98.4926,0.078477,96.4062,5
7,360,469,0.050170,98.4874,0.064786,97.1875,5
7,380,469,0.050380,98.4683,0.066729,97.9688,5
7,400,469,0.050096,98.4648,0.070911,97.6562,5
7,420,469,0.050457,98.4580,0.082795,97.8125,5
7,440,469,0.050264,98.4677,0.049028,97.6562,5
7,460,469,0.050150,98.4698,0.180929,95.1562,5
7,469,469,0.050448,98.4683,0.118105,96.5625,5
8,20,469,0.035245,98.8672,0.060706,97.9688,5
8,40,469,0.038847,98.7109,0.069973,97.9688,5
8,60,469,0.041415,98.7109,0.286639,87.8125,5
8,80,469,0.042139,98.6914,0.044952,97.6562,5
8,100,469,0.040843,98.7578,0.074769,97.1875,5
8,120,469,0.041713,98.7370,0.160433,94.6875,5
8,140,469,0.041962,98.7277,0.070883,97.3438,5
8,160,469,0.042065,98.7354,0.072376,97.1875,5
